Designator,Footprint,Quantity,Value,LCSC Part #
C1,805,1,10u 35v,C15850
"C10, C16",Kemet _3760_H,2,470uF,C600599
"C11, C13, C17, C19, C26",402,5,100n,C307331
"C12, C18",CP_EIA-7343-31_Kemet-D,2,470uF,C116576
"C14, C20, C22, C23, C24, C25",402,6,33p,C107005
"C15, C21",402,2,10p,C513681
"C2, C3",402,2,100n 100v,C307331
C27,402,1,104,C307331
C28,402,1,1u,C107005
"C4, C5",805,2,4.7uF,C318563
"C6, C8, C9",805,3,0.01uF,C60133
C7,CP_EIA-7343-31_Kemet-D,1,330uF,C105408
"CM4_A, CM4_B",DF40C-100DS_CM4,2,DF40C-100DS,C597931
D1,SOT-23,1,MMBZ5242BLT1G,C236184
D2,D_SMA,1,SS54,C908681
D3,402,1,W,C130724
D4,603,1,LED Red,C84263
D5,603,1,LED Green,C434423
D6,SOT-23,1,PSM712-LF-T7,C32677
IC1,SOT95P280X145-6N,1,DALC208SC6,C5123934
J1,PinHeader_1x04_P2.54mm_Vertical,1,AMP171826-4,C5116483
J10,PinHeader_2x03_P2.54mm_Vertical,1,RADAR_EN,C5116482
J11,PinHeader_2x20_P2.54mm_Vertical,1,ENV_SEN,
J12,PinSocket_2x02_P2.54mm_Vertical,1,EPP_RW,
J2,TerminalBlock_bornier-2_P5.08mm,1,pwr,C3018698
J3,Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal,1,RPI_CAM,C597981
"J4, J5",BUS_PCI_Express_Mini_Half,2,Bus_PCI_Express_Mini,C266899
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,C2905414
J7,PinHeader_1x03_P2.54mm_Vertical,1,W.BT,C5116482
J8,PinSocket_2x04_P2.00mm_Vertical,1,Conn_02x04_Odd_Even,C5156676
J9,FPC-SMD_P0.50-24P_QCHF-SM-H2.0,1,Coral_CAM,C262683
L1,L_12x12mm_H8mm,1,CDRH127/LDNP-150MC,C879410
Q1,Diodes_PowerDI3333-8,1,DMP3013SFV-7,C264098
"Q2, Q3, Q4, Q5",SOTFL50P160X85-3N,4,DTC143ZEBTL,C308696
R1,402,1,12K 1%,C144798
"R10, R6",402,2,470R,C25117
"R11, R7",402,2,47K 1%,C93943
"R12, R17, R18",402,3,1K,C106235
"R13, R14, R15",402,3,22R,C25092
R16,402,1,15R,C138052
R19,402,1,360R,C2930003
R2,805,1,10K,C17414
R20,402,1,360R ,C2930003
R21,402,1,0R,C21376
R23,402,1,120R,C114758
R3,402,1,3.16K,C2692899
"R4, R8",402,2,51K,C25794
"R5, R9",402,2,82K 1%,C137932
U1,CONV_TPS5450DDAR,1,TPS5450DDAR,C114425 
"U2, U3",TO-263-5_TabPin3,2,MIC29302WU,C11149
"U5, U7",SOT-353_SC-70-5,2,74LVC1G07SE-7,C12511
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485,C9943
